EffectiveDate,FundCusip,EntityName,HoldingName,Ticker,MarketValue%,MarketValue,SharesQuantity,SecurityID,SecuritySedol,SecurityISIN,AssetGroup,CouponRate,MaturityDate,Principal,NotionalValue%,NotionalValue
09/22/2025,86280R779,MONOPOLY ETF,CASH AND CASH EQUIVALENTS,,1.52442553%,179818.89,179818.89,,,,,,,,1.524426%,179818.89
09/22/2025,86280R779,MONOPOLY ETF,TAIWAN SEMICONDUCTOR MANU,TSM US,3.71397673%,438094.98,1654.0000,874039100,2113382,US8740391003,AMERICAN DEPOSITARY RECEIPT,0.000000000,,438094.98,3.713977%,438094.98
09/22/2025,86280R779,MONOPOLY ETF,ABBOTT LABORATORIES,ABT US,0.64007447%,75502.20,555.0000,002824100,2002305,US0028241000,COMMON STOCK,0.000000000,,75502.20,0.640074%,75502.20
09/22/2025,86280R779,MONOPOLY ETF,ABBVIE INC.,ABBV US,1.04295961%,123025.91,553.0000,00287Y109,B92SR70,US00287Y1091,COMMON STOCK,0.000000000,,123025.91,1.042960%,123025.91
09/22/2025,86280R779,MONOPOLY ETF,ADOBE INC,ADBE US,0.39704825%,46835.20,128.0000,00724F101,2008154,US00724F1012,COMMON STOCK,0.000000000,,46835.20,0.397048%,46835.20
09/22/2025,86280R779,MONOPOLY ETF,ADVANCED MICRO DEVICES,AMD US,0.64179025%,75704.59,481.0000,007903107,2007849,US0079031078,COMMON STOCK,0.000000000,,75704.59,0.641790%,75704.59
09/22/2025,86280R779,MONOPOLY ETF,AGILENT TECHNOLOGIES INC,A US,0.08567084%,10105.60,80.0000,00846U101,2520153,US00846U1016,COMMON STOCK,0.000000000,,10105.60,0.085671%,10105.60
09/22/2025,86280R779,MONOPOLY ETF,ALPHABET INC,GOOG US,8.04721892%,949237.56,3719.0000,02079K107,BYY88Y7,US02079K1079,COMMON STOCK,0.000000000,,949237.56,8.047219%,949237.56
09/22/2025,86280R779,MONOPOLY ETF,AMAZON.COM INC.,AMZN US,6.12264346%,722217.60,3120.0000,023135106,2000019,US0231351067,COMMON STOCK,0.000000000,,722217.60,6.122643%,722217.60
09/22/2025,86280R779,MONOPOLY ETF,AMERICAN EXPRESS CO.,AXP US,0.64199413%,75728.64,222.0000,025816109,2026082,US0258161092,COMMON STOCK,0.000000000,,75728.64,0.641994%,75728.64
09/22/2025,86280R779,MONOPOLY ETF,AMGEN INC,AMGN US,0.40406995%,47663.47,167.0000,031162100,2023607,US0311621009,COMMON STOCK,0.000000000,,47663.47,0.404070%,47663.47
09/22/2025,86280R779,MONOPOLY ETF,APOLLO GLOBAL MANAGEMENT,1874329D,0.23928974%,28226.25,195.0000,03769M106,BN44JF6,US03769M1062,COMMON STOCK,0.000000000,,28226.25,0.239290%,28226.25
09/22/2025,86280R779,MONOPOLY ETF,APPLE INC.,AAPL US,9.67985246%,1141820.50,4651.0000,037833100,2046251,US0378331005,COMMON STOCK,0.000000000,,1141820.50,9.679852%,1141820.50
